NO.	 Vo(V) 	  I(uA)
349	   19.6	  200.6
350	   19.8	  200.9
351	   20.0	  200.9
352	   20.2	  201.3
353	   20.4	  201.5
354	   20.6	  201.7
355	   20.8	  202.0
356	   21.0	  202.2
357	   21.2	  202.6
358	   21.4	  202.7
359	   21.6	  203.1
360	   21.8	  203.1
361	   22.0	  203.2
362	   22.2	  203.5
363	   22.4	  203.8
364	   22.6	  204.0
365	   22.8	  204.1
366	   23.0	  204.5
367	   23.2	  204.7
368	   23.4	  204.9
369	   23.6	  205.1
370	   23.8	  205.1
371	   24.0	  205.5
372	   24.2	  205.6
373	   24.4	  205.6
374	   24.6	  205.8
375	   24.8	  206.2
376	   25.0	  206.5
377	   25.2	  206.8
378	   25.4	  207.0
379	   25.6	  207.2
380	   25.8	  207.3
381	   26.0	  207.6
382	   26.2	  207.8
383	   26.4	  207.9
384	   26.6	  208.2
385	   26.8	  208.4
386	   27.0	  208.7
387	   27.2	  208.9
388	   27.4	  209.0
389	   27.6	  209.2
390	   27.8	  209.4
391	   28.0	  209.6
392	   28.2	  209.7
393	   28.4	  209.8
394	   28.6	  210.0
395	   28.8	  210.1
396	   29.0	  210.3
397	   29.2	  210.5
398	   29.4	  210.6
399	   29.6	  210.7
400	   29.8	  210.9
401	   30.0	  211.1
402	   30.2	  211.5
403	   30.4	  211.5
404	   30.6	  211.8
405	   30.8	  211.9
406	   31.0	  212.2
407	   31.2	  212.2
408	   31.4	  212.6
409	   31.6	  212.8
410	   31.8	  213.1
411	   32.0	  213.2
412	   32.2	  213.2
413	   32.4	  213.4
414	   32.6	  213.5
415	   32.8	  213.7
416	   33.0	  214.0
417	   33.2	  214.0
418	   33.4	  214.2
419	   33.6	  214.4
420	   33.8	  214.5
421	   34.0	  214.5
422	   34.2	  214.6
423	   34.4	  214.8
424	   34.6	  214.9
425	   34.8	  215.1
426	   35.0	  215.2
427	   35.2	  215.3
428	   35.4	  215.4
429	   35.6	  215.5
430	   35.8	  215.6
431	   36.0	  215.8
432	   36.2	  216.1
433	   36.4	  216.4
434	   36.6	  216.4
435	   36.8	  216.4
436	   37.0	  216.6
437	   37.2	  216.6
438	   37.4	  216.9
439	   37.6	  216.9
440	   37.8	  217.1
441	   38.0	  217.1
442	   38.2	  217.3
443	   38.4	  217.4
444	   38.6	  217.8
445	   38.8	  218.1
446	   39.0	  218.2
447	   39.2	  218.2
